mu_baseline,target_att,rho,study_end_week,power,mean_att,mean_se
0.3,0.02,0.9,26,0.08,0.018940834492305075,0.05388742168726724
0.3,0.05,0.5,26,0.12,0.034788630976866276,0.05369914976347703
0.3,0.05,0.7,26,0.2,0.06210737905884965,0.054459217676818786
0.3,0.05,0.9,26,0.06,0.048819460890416784,0.05618659449806616
0.3,0.08,0.5,26,0.18,0.06995360011720306,0.05303794225695464
0.3,0.08,0.7,26,0.36,0.07130625236691411,0.05565686415054251
0.3,0.1,0.5,26,0.34,0.09435052565898154,0.05272896642095731
0.3,0.08,0.9,26,0.34,0.0786099147176353,0.05382746768387709
0.3,0.1,0.7,26,0.38,0.08688581638949286,0.053478145221288666
0.3,0.1,0.9,26,0.48,0.10498741650506355,0.05505308059975152
0.3,0.12,0.7,26,0.42,0.10228889876463405,0.05396623549061686
0.3,0.12,0.5,26,0.62,0.12539947642227053,0.053324097958537306
0.3,0.12,0.9,26,0.66,0.12642028037322156,0.05448036691642702
0.3,0.15,0.5,26,0.7,0.15159715892767364,0.05358872499243657
0.3,0.15,0.7,26,0.86,0.1511632646356911,0.05325110425309707
0.3,0.15,0.9,26,0.84,0.15283143164025514,0.05301668723317363
0.3,0.2,0.5,26,0.94,0.19602348648083942,0.0542521686348269
0.3,0.2,0.7,26,0.9,0.17354913905538905,0.05493548693132126
0.3,0.2,0.9,26,0.98,0.2074764681805123,0.05482029326532078
0.3,0.25,0.5,26,1.0,0.24796266592884236,0.05488325975127935
0.3,0.25,0.7,26,1.0,0.24105109200440084,0.05305569023736509
0.3,0.25,0.9,26,0.98,0.23816554850378385,0.054018131692940716
0.3,0.3,0.5,26,1.0,0.28657389701801467,0.05528122758434116
0.3,0.3,0.7,26,1.0,0.28292223887223883,0.052603959297561065
0.3,0.3,0.9,26,1.0,0.2845781536682272,0.05533754971540782
0.3,0.4,0.5,26,1.0,0.3630869770752123,0.05633129487031097
0.3,0.4,0.7,26,1.0,0.35785309041448743,0.05732648631252486
0.3,0.4,0.9,26,1.0,0.35074666660953435,0.0559399463003548
0.4,0.02,0.5,26,0.02,0.02494169621228445,0.05352176376856463
0.4,0.02,0.7,26,0.08,0.03277841088649912,0.053976995715185126
0.4,0.05,0.5,26,0.12,0.04982420904259139,0.053046913324846366
0.4,0.02,0.9,26,0.02,0.018470459646562586,0.05447459129688394
0.4,0.05,0.7,26,0.1,0.04129364348886408,0.053810797022667015
0.4,0.05,0.9,26,0.16,0.05269772878265526,0.05516342389729866
0.4,0.08,0.5,26,0.4,0.08622344383557619,0.05408484713073359
0.4,0.08,0.7,26,0.38,0.08588298135687843,0.05340955874243619
0.4,0.08,0.9,26,0.34,0.08773249589462825,0.05368984098525951
0.4,0.1,0.5,26,0.44,0.09705141202751498,0.05381595049947783
0.4,0.1,0.7,26,0.48,0.10674339573824866,0.054225097233695826
0.4,0.1,0.9,26,0.46,0.09953383299706829,0.05564844956686728
0.4,0.12,0.5,26,0.6,0.12034961713123478,0.05384969839297435
0.4,0.12,0.7,26,0.38,0.10013594395800278,0.05384008640458951
0.4,0.12,0.9,26,0.52,0.1145073280885781,0.05334828084129912
0.4,0.15,0.5,26,0.72,0.14105922814930166,0.05396125132132555
0.4,0.15,0.7,26,0.8,0.14828551787265024,0.05352612950515044
0.4,0.15,0.9,26,0.72,0.13881514094565564,0.05408493827783512
0.4,0.2,0.5,26,0.92,0.19397872597174068,0.05552946219657897
0.4,0.2,0.7,26,0.92,0.19237211093644915,0.054457364546053454
0.4,0.2,0.9,26,0.96,0.19396928765678767,0.054862610879939176
0.4,0.25,0.5,26,0.98,0.22860744455707693,0.05481346135708742
0.4,0.25,0.7,26,0.96,0.25498189229071583,0.0531838085196673
0.4,0.25,0.9,26,1.0,0.2298054503503033,0.05493788418786379
0.4,0.3,0.5,26,1.0,0.26655629974600564,0.05496666725354568
0.4,0.3,0.7,26,1.0,0.2800026629416335,0.05622468517899676
0.4,0.3,0.9,26,1.0,0.28252432473572175,0.05556976157538128
0.4,0.4,0.5,26,1.0,0.3407549596645185,0.05695412721184864
0.4,0.4,0.7,26,1.0,0.3442838444643592,0.05622494717491425
0.4,0.4,0.9,26,1.0,0.3516009013453867,0.05821685320089931
0.5,0.02,0.5,26,0.1,0.028556419479213595,0.05383197330729573
0.5,0.02,0.7,26,0.14,0.012492585600673836,0.05280391772501382
0.5,0.02,0.9,26,0.1,0.021448935011067368,0.05274022466434783
0.5,0.05,0.5,26,0.16,0.04715783399606929,0.05361072625215339
0.5,0.05,0.7,26,0.08,0.036593826271767445,0.054650742260855055
0.5,0.05,0.9,26,0.06,0.04078715267575562,0.05436379490845375
0.5,0.08,0.5,26,0.28,0.07458235804228451,0.05265076140187564
0.5,0.08,0.7,26,0.26,0.06723118074735722,0.05386126373030584
0.5,0.1,0.5,26,0.46,0.09572517253987843,0.05205813070826893
